FID,FID_,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,logger,lat,long
0,0,Insert,POINT,2,Continuous,0.000200000000000,25,CROSS,0.000000000000000,TK,3.041805110000000,101.872660792000000
1,0,Insert,POINT,2,Continuous,0.830000000000000,25,CROSS,0.000000000000000,TK,3.041935862540000,101.872537381000000
2,0,Insert,POINT,2,Continuous,-2.738000000000000,25,CROSS,0.000000000000000,y,3.042218894700000,101.873371388000000
3,0,Insert,POINT,2,Continuous,-2.866000000000000,25,CROSS,0.000000000000000,x,3.042240924920000,101.873363170999990
4,0,Insert,POINT,2,Continuous,-2.995500000000000,25,CROSS,0.000000000000000,w,3.042250829330000,101.873355080000000
5,0,Insert,POINT,2,Continuous,-2.686400000000000,25,CROSS,0.000000000000000,z3,3.042332050540000,101.873580911999990
6,0,Insert,POINT,2,Continuous,-2.539300000000000,25,CROSS,0.000000000000000,z2,3.042357406540000,101.873558140000000
7,0,Insert,POINT,2,Continuous,-2.465700000000000,25,CROSS,0.000000000000000,T,3.042240227620000,101.873422678000000
8,0,Insert,POINT,2,Continuous,-2.963900000000000,25,CROSS,0.000000000000000,T,3.042260945450000,101.873402781000000
9,0,Insert,POINT,2,Continuous,-2.412200000000000,25,CROSS,0.000000000000000,T,3.042261212280000,101.873402484000000
10,0,Insert,POINT,2,Continuous,-2.928700000000000,25,CROSS,0.000000000000000,T,3.042272671510000,101.873391950000000
11,0,Insert,POINT,2,Continuous,-2.415700000000000,25,CROSS,0.000000000000000,T,3.042273060680000,101.873391947000000
12,0,Insert,POINT,2,Continuous,-2.481500000000000,25,CROSS,0.000000000000000,T,3.042281246060000,101.873379463000010
13,0,Insert,POINT,2,Continuous,-2.375300000000000,25,CROSS,0.000000000000000,T,3.042172362830000,101.873324966000000
14,0,Insert,POINT,2,Continuous,-2.850500000000000,25,CROSS,0.000000000000000,T,3.042189563440000,101.873308302000000
15,0,Insert,POINT,2,Continuous,-2.400200000000000,25,CROSS,0.000000000000000,T,3.042189792930000,101.873308466000000
16,0,Insert,POINT,2,Continuous,-2.809700000000000,25,CROSS,0.000000000000000,T,3.042204080960000,101.873297963000000
17,0,Insert,POINT,2,Continuous,-2.405700000000000,25,CROSS,0.000000000000000,T,3.042204297090000,101.873298361000000
18,0,Insert,POINT,2,Continuous,-2.507000000000000,25,CROSS,0.000000000000000,T,3.042226969300000,101.873287648000000
19,0,Insert,POINT,2,Continuous,-2.567900000000000,25,CROSS,0.000000000000000,T,3.041918612390000,101.873007094000000
20,0,Insert,POINT,2,Continuous,-2.876200000000000,25,CROSS,0.000000000000000,T,3.041930843160000,101.872988146000000
21,0,Insert,POINT,2,Continuous,-2.456600000000000,25,CROSS,0.000000000000000,T,3.041931284920000,101.872988355999990
22,0,Insert,POINT,2,Continuous,-2.921400000000000,25,CROSS,0.000000000000000,T,3.041938833830000,101.872976667000000
23,0,Insert,POINT,2,Continuous,-2.462600000000000,25,CROSS,0.000000000000000,T,3.041938976520000,101.872977557000000
24,0,Insert,POINT,2,Continuous,-2.658900000000000,25,CROSS,0.000000000000000,T,3.041959039950000,101.872953468000010
25,0,Insert,POINT,2,Continuous,-2.521100000000000,25,CROSS,0.000000000000000,T,3.041753424560000,101.872946020000000
26,0,Insert,POINT,2,Continuous,-2.865800000000000,25,CROSS,0.000000000000000,T,3.041754214170000,101.872924350000010
27,0,Insert,POINT,2,Continuous,-2.528400000000000,25,CROSS,0.000000000000000,T,3.041754286820000,101.872924247000000
28,0,Insert,POINT,2,Continuous,-3.109600000000000,25,CROSS,0.000000000000000,T,3.041753427840000,101.872909125000010
29,0,Insert,POINT,2,Continuous,-2.432700000000000,25,CROSS,0.000000000000000,T,3.041752773390000,101.872908997000000
30,0,Insert,POINT,2,Continuous,-2.453800000000000,25,CROSS,0.000000000000000,T,3.041754309090000,101.872889898000000
31,0,Insert,POINT,2,Continuous,-2.620600000000000,25,CROSS,0.000000000000000,T,3.041618243700000,101.873010547000010
32,0,Insert,POINT,2,Continuous,-2.756300000000000,25,CROSS,0.000000000000000,T,3.041608909910000,101.872993939000000
33,0,Insert,POINT,2,Continuous,-2.466700000000000,25,CROSS,0.000000000000000,T,3.041609067780000,101.872993819000000
34,0,Insert,POINT,2,Continuous,-3.197800000000000,25,CROSS,0.000000000000000,T,3.041598400990000,101.872965488000010
35,0,Insert,POINT,2,Continuous,-2.458300000000000,25,CROSS,0.000000000000000,T,3.041598737730000,101.872965695999990
36,0,Insert,POINT,2,Continuous,-2.620200000000000,25,CROSS,0.000000000000000,T,3.041589226600000,101.872947393999990
37,0,Insert,POINT,2,Continuous,-0.000300000000000,25,CROSS,0.000000000000000,TK,3.041805109340000,101.872660792999990
38,0,Insert,POINT,2,Continuous,0.830000000000000,25,CROSS,0.000000000000000,TK,3.041935797240000,101.872537442000000
39,0,Insert,POINT,2,Continuous,-0.896500000000000,25,CROSS,0.000000000000000,GCP,3.041913879070000,101.872840409000010
40,0,Insert,POINT,2,Continuous,-1.380000000000000,25,CROSS,0.000000000000000,GCP,3.041780509230000,101.872801201000000
41,0,Insert,POINT,2,Continuous,-1.175600000000000,25,CROSS,0.000000000000000,GCP,3.041674932170000,101.872783580000000
42,0,Insert,POINT,2,Continuous,-0.682300000000000,25,CROSS,0.000000000000000,GCP,3.041510680230000,101.872935557000010
43,0,Insert,POINT,2,Continuous,-0.778700000000000,25,CROSS,0.000000000000000,GCP,3.041241115260000,101.873020915000000
44,0,Insert,POINT,2,Continuous,-2.115900000000000,25,CROSS,0.000000000000000,GCP,3.041808480980000,101.872972051999990
45,0,Insert,POINT,2,Continuous,-1.167000000000000,25,CROSS,0.000000000000000,GCP,3.041441047830000,101.873170402000000
46,0,Insert,POINT,2,Continuous,-1.282500000000000,25,CROSS,0.000000000000000,GCP,3.041738144290000,101.873231481999990
47,0,Insert,POINT,2,Continuous,-2.098700000000000,25,CROSS,0.000000000000000,GCP,3.042036980010000,101.873260122999990
48,0,Insert,POINT,2,Continuous,-0.562100000000000,25,CROSS,0.000000000000000,GCP,3.042296019370000,101.873330177000000
49,0,Insert,POINT,2,Continuous,-2.744700000000000,25,CROSS,0.000000000000000,t,3.042159387320000,101.873201967000000
50,0,Insert,POINT,2,Continuous,-2.661000000000000,25,CROSS,0.000000000000000,u,3.042127796380000,101.873226028000000
51,0,Insert,POINT,2,Continuous,-2.675300000000000,25,CROSS,0.000000000000000,v,3.042106395780000,101.873238798000000
