"","img","bath","sensor","range","time","date","r","g","b","h","s","v","date.time","gray"
"1",1,15.4,15.2,"1535","17:10:48","03/02/2020",0.07224977,0.06278892,0.20077446,0.678094,0.6872664,0.2007745,2020-02-03 17:10:48,0.108731527318871
"2",2,15.4,15.5,"1545","17:11:30","03/02/2020",0.06670901,0.06280063,0.18803893,0.6718679,0.6660232,0.1880389,2020-02-03 17:11:30,0.0954931401991587
"3",3,16.1,17.7,"1535","17:16:40","03/02/2020",0.08685927,0.06230666,0.3995665,0.6788,0.8440644,0.3995665,2020-02-03 17:16:40,0.152525078782951
"4",4,16.1,17.8,"1545","17:17:05","03/02/2020",0.06765595,0.06249378,0.31374716,0.6700909,0.8008148,0.3137472,2020-02-03 17:17:05,0.11623157657903
"5",5,16.3,18.4,"1535","17:19:31","03/02/2020",0.0882208,0.0622676,0.3941242,0.679701,0.8420102,0.3941242,2020-02-03 17:19:31,0.173008965083322
"6",6,16.3,17.7,"1545","07:19:31","03/02/2020",0.06894207,0.06247638,0.3190806,0.6708662,0.8041988,0.3190806,2020-02-03 07:19:31,0.128827196356707
"7",7,16.5,17.7,"1545","17:23:43","03/02/2020",0.07063499,0.06242323,0.32136537,0.6719521,0.8057562,0.3213654,2020-02-03 17:23:43,0.124063946684188
"8",8,16.5,17.6,"1535","17:24:06","03/02/2020",0.09476761,0.06220392,0.40840116,0.6823435,0.8476892,0.4084012,2020-02-03 17:24:06,0.164345987548996
"9",9,16.7,18.2,"1535","17:27:40","03/02/2020",0.1009079,0.0620586,0.4303985,0.6842452,0.8558113,0.4303985,2020-02-03 17:27:40,0.174305829840358
"10",10,16.7,18.1,"1545","17:28:05","03/02/2020",0.07041379,0.06257951,0.33654042,0.6714327,0.8140505,0.3365404,2020-02-03 17:28:05,0.125972999528283
"11",11,17.2,18.3,"1535","17:32:19","03/02/2020",0.11398441,0.06190016,0.45263397,0.6888831,0.8632445,0.452634,2020-02-03 17:32:19,0.171964859180159
"12",12,17.1,18.4,"1545","17:32:40","03/02/2020",0.07245893,0.06241494,0.35978194,0.6722961,0.8265201,0.3597819,2020-02-03 17:32:40,0.131337293153749
"13",13,18.2,19.4,"1535","17:42:15","03/02/2020",0.21280748,0.06135266,0.52418095,0.7212063,0.8829552,0.524181,2020-02-03 17:42:15,0.207922073959206
"14",14,18.2,19.5,"1545","17:42:28","03/02/2020",0.09363822,0.06172972,0.43963015,0.6807394,0.8595872,0.4396302,2020-02-03 17:42:28,0.15168160147656
"15",15,18.4,19.7,"1535","17:46:30","03/02/2020",0.16087286,0.06162662,0.49794016,0.7045776,0.8762369,0.4979402,2020-02-03 17:46:30,0.189032943094341
"16",16,18.4,19.6,"1545","17:46:50","03/02/2020",0.09011826,0.06200732,0.43685223,0.6791656,0.8580588,0.4368522,2020-02-03 17:46:50,0.154293864030031
"17",17,19.1,20.8,"1535","10:37:34","03/02/2020",0.27178366,0.06074759,0.55288991,0.7381352,0.8901271,0.5528899,2020-02-03 10:37:34,0.185277753515999
"18",18,19.1,20.8,"1545","10:37:58","03/02/2020",0.12464932,0.06192849,0.4784665,0.6917627,0.8705688,0.4784665,2020-02-03 10:37:58,0.136085790843443
"19",19,19.7,22.8,"1535","10:45:50","03/02/2020",0.49808468,0.05928281,0.58170421,0.8066564,0.8980877,0.5817042,2020-02-03 10:45:50,0.256180037862178
"20",20,19.7,22.9,"1545","10:46:15","03/02/2020",0.26598105,0.06062919,0.55408971,0.7360244,0.8905788,0.5540897,2020-02-03 10:46:15,0.186259041673735
"21",21,20.2,23.1,"1535","10:54:00","03/02/2020",0.51079657,0.05933245,0.58149634,0.8107671,0.8979659,0.5814963,2020-02-03 10:54:00,0.269304431859679
"22",22,20.2,23,"1545","10:54:10","03/02/2020",0.28467193,0.06087379,0.55763121,0.741753,0.890835,0.5576312,2020-02-03 10:54:10,0.197340451890061
